run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,structure_valid,structure_errors,rule_1_type_pass,rule_1_type_detail,rule_2_separator_pass,rule_2_separator_detail,rule_3_imperative_pass,rule_3_imperative_detail,rule_4_no_period_pass,rule_4_no_period_detail,rule_5_lowercase_pass,rule_5_lowercase_detail,rule_6_scope_vocab_pass,rule_6_scope_vocab_detail,rule_7_gitmoji_pass,rule_7_gitmoji_detail,rule_8_body_why_what_pass,rule_8_body_why_what_detail,rule_9_body_word_count_pass,rule_9_body_word_count_detail,rule_10_trailer_format_pass,rule_10_trailer_format_detail,rule_11_signed_off_by_pass,rule_11_signed_off_by_detail,rule_12_breaking_footer_pass,rule_12_breaking_footer_detail,rule_13_ticket_ref_pass,rule_13_ticket_ref_detail,rule_14_subject_length_pass,rule_14_subject_length_detail,auto_score,scored_rules
haiku_markdown_task2_rep5,haiku,markdown,2,medium,5,3278,3,123,32103,0,0.0038283,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 49 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,True,length=46 <= 50,14,14
haiku_markdown_task3_rep1,haiku,markdown,3,complex,1,5593,3,161,27305,4838,0.009586,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 44 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,True,length=39 <= 50,14,14
haiku_markdown_task3_rep2,haiku,markdown,3,complex,2,3799,3,161,27305,4838,0.009586,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 44 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,True,length=39 <= 50,14,14
haiku_markdown_task3_rep3,haiku,markdown,3,complex,3,3929,3,166,32143,0,0.0040473,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 44 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,False,length=54 > 50,13,14
haiku_markdown_task3_rep4,haiku,markdown,3,complex,4,3730,3,163,32143,0,0.0040323,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 44 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,True,length=49 <= 50,14,14
haiku_markdown_task3_rep5,haiku,markdown,3,complex,5,3350,3,164,32143,0,0.0040373,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 44 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,False,length=54 > 50,13,14
haiku_none_task1_rep1,haiku,none,1,simple,1,4021,3,74,0,30097,0.03799424999999999,True,,True,,True,valid type: fix,True,ok,True,first word 'handle' is ok,True,ok,True,ok,False,"scope 'UserService' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':bug: ', got 'handle null when user record n'",False,"missing sections: Why:, What:",True,body has 31 words (range: 30-150),True,no footers present,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),False,missing Ticket: PROJ-247 footer,False,length=70 > 50,8,14
haiku_none_task1_rep2,haiku,none,1,simple,2,3694,3,58,0,30099,0.03791675,True,,True,,True,valid type: fix,True,ok,True,first word 'handle' is ok,True,ok,True,ok,False,"scope 'UserService' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':bug: ', got 'handle null case in findById()'",False,"missing sections: Why:, What:",False,"body has 22 words, minimum is 30",True,no footers present,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),False,missing Ticket: PROJ-247 footer,False,length=55 > 50,7,14
haiku_none_task1_rep3,haiku,none,1,simple,3,3376,3,64,30099,0,0.0033329,True,,True,,True,valid type: fix,True,ok,True,first word 'handle' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':bug: ', got 'handle null user in UserServic'",False,"missing sections: Why:, What:",False,"body has 25 words, minimum is 30",True,no footers present,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),False,missing Ticket: PROJ-247 footer,True,length=47 <= 50,8,14
haiku_none_task1_rep4,haiku,none,1,simple,4,3537,3,41,30099,0,0.0032179,True,,True,,True,valid type: fix,True,ok,True,first word 'handle' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':bug: ', got 'handle missing user in UserSer'",False,"missing sections: Why:, What:",False,"body has 13 words, minimum is 30",True,no footers present,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),False,missing Ticket: PROJ-247 footer,True,length=50 <= 50,8,14
haiku_none_task1_rep5,haiku,none,1,simple,5,3983,3,66,30099,0,0.0033429,True,,True,,True,valid type: fix,True,ok,True,first word 'prevent' is ok,True,ok,True,ok,False,"scope 'UserService' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':bug: ', got 'prevent null pointer exception'",False,"missing sections: Why:, What:",True,body has 31 words (range: 30-150),True,no footers present,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),False,missing Ticket: PROJ-247 footer,False,length=62 > 50,8,14
haiku_none_task2_rep1,haiku,none,2,medium,1,4176,3,136,27305,2843,0.00696725,True,,True,,True,valid type: feat,True,ok,True,first word 'add' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'add per-IP rate limiting middl'",False,"missing sections: Why:, What:",True,body has 46 words (range: 30-150),True,all 1 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=60 > 50,9,14
haiku_none_task2_rep2,haiku,none,2,medium,2,4196,3,147,27305,2845,0.00702475,True,,True,,True,valid type: feat,True,ok,True,first word 'add' is ok,True,ok,True,ok,False,"scope 'middleware' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'add per-IP rate limiting with '",False,"missing sections: Why:, What:",True,body has 57 words (range: 30-150),True,no footers present,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),False,missing Ticket: PROJ-312 footer,False,length=61 > 50,8,14
haiku_none_task2_rep3,haiku,none,2,medium,3,3586,3,102,30150,0,0.0035280000000000003,True,,True,,True,valid type: feat,True,ok,True,first word 'add' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'add per-IP rate limiting middl'",False,"missing sections: Why:, What:",True,body has 33 words (range: 30-150),True,all 1 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=60 > 50,9,14
haiku_none_task2_rep4,haiku,none,2,medium,4,3694,3,134,30150,0,0.0036880000000000003,True,,True,,True,valid type: feat,True,ok,True,first word 'add' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'add per-IP rate limiting middl'",False,"missing sections: Why:, What:",True,body has 44 words (range: 30-150),True,all 1 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=60 > 50,9,14
haiku_none_task2_rep5,haiku,none,2,medium,5,4005,3,133,30150,0,0.0036830000000000005,True,,True,,True,valid type: feat,True,ok,True,first word 'add' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'add per-IP rate limiting middl'",False,"missing sections: Why:, What:",True,body has 45 words (range: 30-150),True,all 1 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,n/a (not a breaking change),False,missing Ticket: PROJ-312 footer,False,length=60 > 50,8,14
haiku_none_task3_rep1,haiku,none,3,complex,1,3857,3,122,27305,2883,0.00694725,True,,True,,True,valid type: feat,True,ok,True,first word 'replace' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'replace jsonwebtoken with jose'",False,no body present (Why: and What: sections required),False,"body has 0 words, minimum is 30",True,all 2 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,BREAKING CHANGE footer present (342 chars),False,missing Ticket: PROJ-189 footer,False,length=54 > 50,7,14
haiku_none_task3_rep2,haiku,none,3,complex,2,4037,3,109,27305,2885,0.00688475,True,,True,,True,valid type: refactor,True,ok,True,first word 'replace' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':recycle: ', got 'replace jsonwebtoken with jose'",False,no body present (Why: and What: sections required),False,"body has 0 words, minimum is 30",True,all 2 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,BREAKING CHANGE footer present (393 chars),True,Ticket footer contains PROJ-189,False,length=58 > 50,8,14
haiku_none_task3_rep3,haiku,none,3,complex,3,3858,3,118,30190,0,0.0036120000000000006,True,,True,,True,valid type: feat,True,ok,True,first word 'replace' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'replace jsonwebtoken with jose'",False,"missing sections: Why:, What:",False,"body has 24 words, minimum is 30",True,all 2 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,BREAKING CHANGE footer present (152 chars),False,missing Ticket: PROJ-189 footer,False,length=54 > 50,7,14
haiku_none_task3_rep4,haiku,none,3,complex,4,4072,3,123,30190,0,0.0036370000000000005,True,,True,,True,valid type: feat,True,ok,True,first word 'replace' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'replace jsonwebtoken with jose'",False,"missing sections: Why:, What:",False,"body has 27 words, minimum is 30",True,all 2 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,BREAKING CHANGE footer present (149 chars),False,missing Ticket: PROJ-189 footer,False,length=54 > 50,7,14
haiku_none_task3_rep5,haiku,none,3,complex,5,3818,3,107,30190,0,0.0035570000000000003,True,,True,,True,valid type: feat,True,ok,True,first word 'replace' is ok,True,ok,True,ok,False,"no scope present, expected one of ['auth', 'api', 'db', 'ui', 'core']",False,"expected description to start with ':sparkles: ', got 'replace jsonwebtoken with jose'",False,no body present (Why: and What: sections required),False,"body has 0 words, minimum is 30",True,all 2 footer(s) in Key: value format,False,"missing Signed-off-by footer, expected 'Alice Developer <alice@example.com>'",True,BREAKING CHANGE footer present (345 chars),False,missing Ticket: PROJ-189 footer,False,length=54 > 50,7,14
haiku_pseudocode-target_task1_pilot,haiku,pseudocode+target,1,simple,0,5045,3,133,0,34813,0.044184249999999994,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 65 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=47 <= 50,14,14
haiku_pseudocode_task1_rep1,haiku,pseudocode,1,simple,1,7265,3,130,27305,7509,0.01276975,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 57 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=46 <= 50,14,14
haiku_pseudocode_task1_rep2,haiku,pseudocode,1,simple,2,3657,3,134,27305,7509,0.01278975,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'core' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 62 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=47 <= 50,14,14
haiku_pseudocode_task1_rep3,haiku,pseudocode,1,simple,3,3848,3,126,34814,0,0.0041144,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,False,"scope 'services' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",True,description starts with :bug:,True,both Why: and What: sections found,True,body has 56 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,False,length=51 > 50,12,14
haiku_pseudocode_task1_rep4,haiku,pseudocode,1,simple,4,4651,3,122,34814,0,0.0040944,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,False,"scope 'service' not in allowed_scopes: ['auth', 'api', 'db', 'ui', 'core']",True,description starts with :bug:,True,both Why: and What: sections found,True,body has 54 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=50 <= 50,13,14
haiku_pseudocode_task1_rep5,haiku,pseudocode,1,simple,5,3865,3,143,34814,0,0.0041994,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 68 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=47 <= 50,14,14
haiku_pseudocode_task2_rep1,haiku,pseudocode,2,medium,1,5551,3,151,27305,7560,0.0129385,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 66 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=57 > 50,13,14
haiku_pseudocode_task2_rep2,haiku,pseudocode,2,medium,2,4434,3,155,27305,7560,0.012958500000000001,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 71 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=57 > 50,13,14
haiku_pseudocode_task2_rep3,haiku,pseudocode,2,medium,3,3426,3,132,34865,0,0.0041495,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 54 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=57 > 50,13,14
haiku_pseudocode_task2_rep4,haiku,pseudocode,2,medium,4,3892,3,142,34865,0,0.0041995,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 60 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=57 > 50,13,14
haiku_pseudocode_task2_rep5,haiku,pseudocode,2,medium,5,3533,3,139,34865,0,0.0041845,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'api' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 60 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-312,False,length=57 > 50,13,14
haiku_pseudocode_task3_rep1,haiku,pseudocode,3,complex,1,5076,3,192,27305,7600,0.0131935,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 64 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,False,length=54 > 50,13,14
haiku_pseudocode_task3_rep2,haiku,pseudocode,3,complex,2,3964,3,187,27305,7600,0.0131685,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 60 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,False,length=54 > 50,13,14
haiku_pseudocode_task3_rep3,haiku,pseudocode,3,complex,3,3889,3,185,34905,0,0.0044185000000000006,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 58 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,False,length=54 > 50,13,14
haiku_pseudocode_task3_rep4,haiku,pseudocode,3,complex,4,4587,3,181,34905,0,0.0043985,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 57 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,False,length=54 > 50,13,14
haiku_pseudocode_task3_rep5,haiku,pseudocode,3,complex,5,4036,3,179,34905,0,0.0043885,True,,True,,True,valid type: feat,True,ok,True,first word ':sparkles:' is ok,True,ok,True,ok,True,scope 'auth' in allowed list,True,description starts with :sparkles:,True,both Why: and What: sections found,True,body has 58 words (range: 30-150),True,all 3 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,BREAKING CHANGE footer present (146 chars),True,Ticket footer contains PROJ-189,False,length=54 > 50,13,14
opus_markdown_task1_pilot,opus,markdown,1,simple,0,5653,3,112,0,29859,0.18943375,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'db' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=38 <= 50,14,14
opus_markdown_task1_rep1,opus,markdown,1,simple,1,7661,3,112,27298,4747,0.04613275,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'db' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=38 <= 50,14,14
opus_markdown_task1_rep2,opus,markdown,1,simple,2,7327,3,112,32045,0,0.0188375,True,,True,,True,valid type: fix,True,ok,True,first word ':bug:' is ok,True,ok,True,ok,True,scope 'db' in allowed list,True,description starts with :bug:,True,both Why: and What: sections found,True,body has 46 words (range: 30-150),True,all 2 footer(s) in Key: value format,True,Signed-off-by matches: Alice Developer <alice@example.com>,True,n/a (not a breaking change),True,Ticket footer contains PROJ-247,True,length=38 <= 50,14,14
