run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,model_count,model_names,rule_1_keywords_upper_rate,rule_1_keywords_upper_detail,rule_2_clause_per_line_rate,rule_2_clause_per_line_detail,rule_3_table_aliases_rate,rule_3_table_aliases_detail,rule_4_column_aliases_rate,rule_4_column_aliases_detail,rule_5_no_select_star_rate,rule_5_no_select_star_detail,rule_6_comment_header_rate,rule_6_comment_header_detail,rule_7_left_join_only_rate,rule_7_left_join_only_detail,rule_8_coalesce_unknown_rate,rule_8_coalesce_unknown_detail,rule_9_row_number_dedup_rate,rule_9_row_number_dedup_detail,rule_10_one_cte_per_file_rate,rule_10_one_cte_per_file_detail,rule_11_jinja_ref_pass,rule_11_jinja_ref_detail,rule_12_layer_naming_pass,rule_12_layer_naming_detail,auto_score,scored_rules
mistral-nemo_markdown_task3_rep1,mistral-nemo,markdown,3,medium,1,14184,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_markdown_task3_rep2,mistral-nemo,markdown,3,medium,2,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_markdown_task3_rep3,mistral-nemo,markdown,3,medium,3,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_markdown_task3_rep4,mistral-nemo,markdown,3,medium,4,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_markdown_task3_rep5,mistral-nemo,markdown,3,medium,5,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task1_rep1,mistral-nemo,none,1,medium,1,2708,,,,,,True,,1,revenue_by_channel_city,1.0,ok,1.0,ok,1.0,ok,1.0,ok,1.0,ok,0.0,revenue_by_channel_city: missing comment header,1.0,ok,0.0,revenue_by_channel_city: COALESCE uses 'unknown' instead of '(unknown)',0.0,revenue_by_channel_city: ROW_NUMBER not found (dedup required),0.0,"revenue_by_channel_city: multiple CTEs in one file: ['customer_channels', 'transactions_with_channel']",False,models without ref(): ['revenue_by_channel_city'],False,invalid prefixes: ['revenue_by_channel_city'],6.0,12
mistral-nemo_none_task1_rep2,mistral-nemo,none,1,medium,2,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task1_rep3,mistral-nemo,none,1,medium,3,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task1_rep4,mistral-nemo,none,1,medium,4,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task1_rep5,mistral-nemo,none,1,medium,5,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task2_rep1,mistral-nemo,none,2,complex,1,5226,,,,,,True,,1,monthly_subscription_metrics,0.0,monthly_subscription_metrics: lowercase keywords: ['as'],1.0,ok,0.0,"monthly_subscription_metrics: tables without alias: ['companies', 'be', 'be']",1.0,ok,1.0,ok,0.0,monthly_subscription_metrics: missing comment header,0.0,monthly_subscription_metrics: plain JOIN found (use LEFT JOIN for analytics),0.0,monthly_subscription_metrics: COALESCE present but '(unknown)' string not found,0.0,monthly_subscription_metrics: ROW_NUMBER not found (dedup required),0.0,"monthly_subscription_metrics: multiple CTEs in one file: ['subscription_data', 'company_data']",False,models without ref(): ['monthly_subscription_metrics'],False,invalid prefixes: ['monthly_subscription_metrics'],3.0,12
mistral-nemo_none_task2_rep2,mistral-nemo,none,2,complex,2,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task2_rep3,mistral-nemo,none,2,complex,3,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task2_rep4,mistral-nemo,none,2,complex,4,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task2_rep5,mistral-nemo,none,2,complex,5,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task3_rep1,mistral-nemo,none,3,medium,1,3166,,,,,,True,,1,product_returns,1.0,ok,1.0,ok,0.0,product_returns: tables without alias: ['returns'],1.0,ok,1.0,ok,0.0,product_returns: missing comment header,0.0,product_returns: plain JOIN found (use LEFT JOIN for analytics),0.0,product_returns: COALESCE present but '(unknown)' string not found,0.0,product_returns: ROW_NUMBER not found (dedup required),0.0,"product_returns: multiple CTEs in one file: ['approved_returns', 'sold_items']",False,models without ref(): ['product_returns'],False,invalid prefixes: ['product_returns'],4.0,12
mistral-nemo_none_task3_rep2,mistral-nemo,none,3,medium,2,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task3_rep3,mistral-nemo,none,3,medium,3,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task3_rep4,mistral-nemo,none,3,medium,4,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_none_task3_rep5,mistral-nemo,none,3,medium,5,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task1_rep1,mistral-nemo,pseudocode,1,medium,1,8140,,,,,,True,,3,stg_channel_assignments; int_revenue_by_customer; fct_revenue_by_channel_city,1.0,ok,0.6667,"stg_channel_assignments: multiple clauses on one line: ['SELECT', 'FROM', 'WHERE']",0.6667,"stg_channel_assignments: tables without alias: ['customer_channels', 'customer_channels']",1.0,ok,0.6667,fct_revenue_by_channel_city: SELECT * found,0.0,stg_channel_assignments: missing comment header; int_revenue_by_customer: missing comment header; fct_revenue_by_channel_city: missing comment header,1.0,ok,0.0,"int_revenue_by_customer: no COALESCE found (expected for: ['channel', 'city']); fct_revenue_by_channel_city: no COALESCE found (expected for: ['channel', 'city'])",1.0,ok,0.6667,"stg_channel_assignments: multiple CTEs in one file: ['transactions', 'latest_channels']",True,ok,True,ok,8.67,12
mistral-nemo_pseudocode_task1_rep2,mistral-nemo,pseudocode,1,medium,2,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task1_rep3,mistral-nemo,pseudocode,1,medium,3,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task1_rep4,mistral-nemo,pseudocode,1,medium,4,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task1_rep5,mistral-nemo,pseudocode,1,medium,5,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task2_rep1,mistral-nemo,pseudocode,2,complex,1,11350,,,,,,True,,7,stg_subscriptions; stg_billing_events; int_deduped_billing; int_users; int_plans; int_subscriptions; fct_monthly_metrics,0.8571,fct_monthly_metrics: lowercase keywords: ['rank'],1.0,ok,0.8571,"int_subscriptions: tables without alias: ['started_at', 'started_at']",1.0,ok,0.8571,fct_monthly_metrics: SELECT * found,1.0,ok,0.5,fct_monthly_metrics: plain JOIN found (use LEFT JOIN for analytics),0.6,"int_deduped_billing: no COALESCE found (expected for: ['industry', 'tier']); fct_monthly_metrics: no COALESCE found (expected for: ['industry', 'tier'])",0.5,int_users: ROW_NUMBER not found (dedup required); int_subscriptions: ROW_NUMBER not found (dedup required),0.8571,"fct_monthly_metrics: multiple CTEs in one file: ['source', 'rankings']",True,ok,True,ok,10.03,12
mistral-nemo_pseudocode_task2_rep2,mistral-nemo,pseudocode,2,complex,2,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task2_rep3,mistral-nemo,pseudocode,2,complex,3,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task2_rep4,mistral-nemo,pseudocode,2,complex,4,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task2_rep5,mistral-nemo,pseudocode,2,complex,5,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task3_rep1,mistral-nemo,pseudocode,3,medium,1,8191,,,,,,True,,3,stg_orders; int_returns; fct_product_return_rates,1.0,ok,1.0,ok,0.6667,fct_product_return_rates: tables without alias: ['stg_orders'],0.6667,fct_product_return_rates: aggregations without AS alias: ['COUNT((...)'],1.0,ok,0.0,stg_orders: missing comment header; int_returns: missing comment header; fct_product_return_rates: missing comment header,1.0,ok,0.5,int_returns: no COALESCE found (expected for: ['category_name']),0.0,int_returns: ROW_NUMBER not found (dedup required),0.6667,"fct_product_return_rates: multiple CTEs in one file: ['orders_items', 'returns']",False,models without ref(): ['int_returns'],True,ok,7.5,12
mistral-nemo_pseudocode_task3_rep2,mistral-nemo,pseudocode,3,medium,2,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task3_rep3,mistral-nemo,pseudocode,3,medium,3,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task3_rep4,mistral-nemo,pseudocode,3,medium,4,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
mistral-nemo_pseudocode_task3_rep5,mistral-nemo,pseudocode,3,medium,5,0,,,,,,False,could not extract any SQL model files from output,0,,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,0.0,no models extracted,False,no models extracted,False,no models extracted,0.0,0
