run_id,model,condition,domain,task,task_complexity,rep,duration_ms,extraction_ok,auto_score,scored_rules,failure_rate,pass_count,fail_count,absent_count,deep_score
gemini-3.1-pro-preview_none_task2_rep2,gemini-3.1-pro-preview,none,chart,2,medium,2,41518,True,7,15,0.2222,7,2,6,7
gemini-3.1-pro-preview_none_task2_rep3,gemini-3.1-pro-preview,none,chart,2,medium,3,63748,True,6,15,0.0,6,0,9,6
gemini-3.1-pro-preview_none_task3_rep1,gemini-3.1-pro-preview,none,chart,3,complex,1,60842,True,3,15,0.4,3,2,10,3
gemini-3.1-pro-preview_none_task3_rep2,gemini-3.1-pro-preview,none,chart,3,complex,2,29484,True,3,15,0.25,3,1,11,3
gemini-3.1-pro-preview_none_task3_rep3,gemini-3.1-pro-preview,none,chart,3,complex,3,38570,True,3,15,0.4,3,2,10,3
gemini-3.1-pro-preview_pseudocode_task1_rep1,gemini-3.1-pro-preview,pseudocode,chart,1,simple,1,47293,True,15,15,0.0,15,0,0,15
gemini-3.1-pro-preview_pseudocode_task1_rep2,gemini-3.1-pro-preview,pseudocode,chart,1,simple,2,29243,True,15,15,0.0,15,0,0,15
gemini-3.1-pro-preview_pseudocode_task1_rep3,gemini-3.1-pro-preview,pseudocode,chart,1,simple,3,34326,True,15,15,0.0,15,0,0,15
gemini-3.1-pro-preview_pseudocode_task2_rep1,gemini-3.1-pro-preview,pseudocode,chart,2,medium,1,28963,True,13,15,0.0714,13,1,1,13
gemini-3.1-pro-preview_pseudocode_task2_rep2,gemini-3.1-pro-preview,pseudocode,chart,2,medium,2,39335,True,14,15,0.0,14,0,1,14
gemini-3.1-pro-preview_pseudocode_task2_rep3,gemini-3.1-pro-preview,pseudocode,chart,2,medium,3,39700,True,14,15,0.0,14,0,1,14
gemini-3.1-pro-preview_pseudocode_task3_rep1,gemini-3.1-pro-preview,pseudocode,chart,3,complex,1,28196,True,13,15,0.0,13,0,2,13
gemini-3.1-pro-preview_pseudocode_task3_rep2,gemini-3.1-pro-preview,pseudocode,chart,3,complex,2,37045,True,13,15,0.0,13,0,2,13
gemini-3.1-pro-preview_pseudocode_task3_rep3,gemini-3.1-pro-preview,pseudocode,chart,3,complex,3,40097,True,13,15,0.0,13,0,2,13
gemini-3.1-pro-preview_markdown_task1_rep1,gemini-3.1-pro-preview,markdown,sql-query,1,medium,1,50090,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_markdown_task1_rep2,gemini-3.1-pro-preview,markdown,sql-query,1,medium,2,51239,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_markdown_task1_rep3,gemini-3.1-pro-preview,markdown,sql-query,1,medium,3,87945,True,11.3,12,0.0583,,,,
gemini-3.1-pro-preview_markdown_task2_rep1,gemini-3.1-pro-preview,markdown,sql-query,2,complex,1,73164,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_markdown_task2_rep2,gemini-3.1-pro-preview,markdown,sql-query,2,complex,2,59990,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_markdown_task2_rep3,gemini-3.1-pro-preview,markdown,sql-query,2,complex,3,78859,True,11.36,12,0.0536,,,,
gemini-3.1-pro-preview_markdown_task3_rep1,gemini-3.1-pro-preview,markdown,sql-query,3,medium,1,83274,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_markdown_task3_rep2,gemini-3.1-pro-preview,markdown,sql-query,3,medium,2,98545,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_markdown_task3_rep3,gemini-3.1-pro-preview,markdown,sql-query,3,medium,3,73702,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_none_task1_rep1,gemini-3.1-pro-preview,none,sql-query,1,medium,1,18149,True,5.0,12,0.5833,,,,
gemini-3.1-pro-preview_none_task1_rep2,gemini-3.1-pro-preview,none,sql-query,1,medium,2,33732,True,7.5,12,0.375,,,,
gemini-3.1-pro-preview_none_task1_rep3,gemini-3.1-pro-preview,none,sql-query,1,medium,3,13346,True,6.0,12,0.5,,,,
gemini-3.1-pro-preview_none_task2_rep1,gemini-3.1-pro-preview,none,sql-query,2,complex,1,23773,True,5.0,12,0.5833,,,,
gemini-3.1-pro-preview_none_task2_rep2,gemini-3.1-pro-preview,none,sql-query,2,complex,2,23295,True,5.0,12,0.5833,,,,
gemini-3.1-pro-preview_none_task2_rep3,gemini-3.1-pro-preview,none,sql-query,2,complex,3,18169,True,4.0,12,0.6667,,,,
gemini-3.1-pro-preview_none_task3_rep1,gemini-3.1-pro-preview,none,sql-query,3,medium,1,23908,True,4.0,12,0.6667,,,,
gemini-3.1-pro-preview_none_task3_rep2,gemini-3.1-pro-preview,none,sql-query,3,medium,2,33447,True,4.0,12,0.6667,,,,
gemini-3.1-pro-preview_none_task3_rep3,gemini-3.1-pro-preview,none,sql-query,3,medium,3,22686,True,4.0,12,0.6667,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep1,gemini-3.1-pro-preview,pseudocode,sql-query,1,medium,1,51297,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep2,gemini-3.1-pro-preview,pseudocode,sql-query,1,medium,2,43630,True,11.5,12,0.0417,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep3,gemini-3.1-pro-preview,pseudocode,sql-query,1,medium,3,56611,True,11.33,12,0.0556,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep1,gemini-3.1-pro-preview,pseudocode,sql-query,2,complex,1,98337,True,10.83,12,0.0972,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep2,gemini-3.1-pro-preview,pseudocode,sql-query,2,complex,2,57851,True,10.83,12,0.0972,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep3,gemini-3.1-pro-preview,pseudocode,sql-query,2,complex,3,58990,True,10.83,12,0.0972,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep1,gemini-3.1-pro-preview,pseudocode,sql-query,3,medium,1,94109,True,10.83,12,0.0972,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep2,gemini-3.1-pro-preview,pseudocode,sql-query,3,medium,2,90701,True,10.83,12,0.0972,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep3,gemini-3.1-pro-preview,pseudocode,sql-query,3,medium,3,49186,True,10.83,12,0.0972,,,,
gemini-3.1-pro-preview_markdown_task1_rep1,gemini-3.1-pro-preview,markdown,dockerfile,1,simple,1,47543,True,13,13,0.0,,,,
gemini-3.1-pro-preview_markdown_task1_rep2,gemini-3.1-pro-preview,markdown,dockerfile,1,simple,2,26896,True,13,13,0.0,,,,
gemini-3.1-pro-preview_markdown_task1_rep3,gemini-3.1-pro-preview,markdown,dockerfile,1,simple,3,49478,True,13,13,0.0,,,,
gemini-3.1-pro-preview_markdown_task2_rep1,gemini-3.1-pro-preview,markdown,dockerfile,2,medium,1,33443,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task2_rep2,gemini-3.1-pro-preview,markdown,dockerfile,2,medium,2,33142,True,11,13,0.1538,,,,
gemini-3.1-pro-preview_markdown_task2_rep3,gemini-3.1-pro-preview,markdown,dockerfile,2,medium,3,33972,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task3_rep1,gemini-3.1-pro-preview,markdown,dockerfile,3,complex,1,67433,True,13,13,0.0,,,,
gemini-3.1-pro-preview_markdown_task3_rep2,gemini-3.1-pro-preview,markdown,dockerfile,3,complex,2,51231,True,13,13,0.0,,,,
gemini-3.1-pro-preview_markdown_task3_rep3,gemini-3.1-pro-preview,markdown,dockerfile,3,complex,3,80883,True,13,13,0.0,,,,
gemini-3.1-pro-preview_none_task1_rep1,gemini-3.1-pro-preview,none,dockerfile,1,simple,1,32341,True,11,13,0.1538,,,,
gemini-3.1-pro-preview_none_task1_rep2,gemini-3.1-pro-preview,none,dockerfile,1,simple,2,67749,True,11,13,0.1538,,,,
gemini-3.1-pro-preview_none_task1_rep3,gemini-3.1-pro-preview,none,dockerfile,1,simple,3,35505,True,10,13,0.2308,,,,
gemini-3.1-pro-preview_none_task2_rep1,gemini-3.1-pro-preview,none,dockerfile,2,medium,1,30430,True,13,13,0.0,,,,
gemini-3.1-pro-preview_none_task2_rep2,gemini-3.1-pro-preview,none,dockerfile,2,medium,2,38388,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_none_task2_rep3,gemini-3.1-pro-preview,none,dockerfile,2,medium,3,32544,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_none_task3_rep1,gemini-3.1-pro-preview,none,dockerfile,3,complex,1,42610,True,11,13,0.1538,,,,
gemini-3.1-pro-preview_none_task3_rep2,gemini-3.1-pro-preview,none,dockerfile,3,complex,2,32761,True,13,13,0.0,,,,
gemini-3.1-pro-preview_none_task3_rep3,gemini-3.1-pro-preview,none,dockerfile,3,complex,3,49263,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep1,gemini-3.1-pro-preview,pseudocode,dockerfile,1,simple,1,53771,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep2,gemini-3.1-pro-preview,pseudocode,dockerfile,1,simple,2,40063,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep3,gemini-3.1-pro-preview,pseudocode,dockerfile,1,simple,3,68091,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep1,gemini-3.1-pro-preview,pseudocode,dockerfile,2,medium,1,39242,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep2,gemini-3.1-pro-preview,pseudocode,dockerfile,2,medium,2,29113,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep3,gemini-3.1-pro-preview,pseudocode,dockerfile,2,medium,3,38509,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep1,gemini-3.1-pro-preview,pseudocode,dockerfile,3,complex,1,62714,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep2,gemini-3.1-pro-preview,pseudocode,dockerfile,3,complex,2,68402,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep3,gemini-3.1-pro-preview,pseudocode,dockerfile,3,complex,3,47841,True,13,13,0.0,,,,
gemini-3.1-pro-preview_markdown_task1_rep1,gemini-3.1-pro-preview,markdown,terraform,1,simple,1,32580,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task1_rep2,gemini-3.1-pro-preview,markdown,terraform,1,simple,2,36979,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task1_rep3,gemini-3.1-pro-preview,markdown,terraform,1,simple,3,40960,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task2_rep1,gemini-3.1-pro-preview,markdown,terraform,2,medium,1,84196,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task2_rep2,gemini-3.1-pro-preview,markdown,terraform,2,medium,2,73490,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task2_rep3,gemini-3.1-pro-preview,markdown,terraform,2,medium,3,70340,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task3_rep1,gemini-3.1-pro-preview,markdown,terraform,3,complex,1,78246,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task3_rep2,gemini-3.1-pro-preview,markdown,terraform,3,complex,2,102038,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_markdown_task3_rep3,gemini-3.1-pro-preview,markdown,terraform,3,complex,3,86603,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_none_task1_rep1,gemini-3.1-pro-preview,none,terraform,1,simple,1,42366,True,10,13,0.2308,,,,
gemini-3.1-pro-preview_none_task1_rep2,gemini-3.1-pro-preview,none,terraform,1,simple,2,18147,True,10,13,0.2308,,,,
gemini-3.1-pro-preview_none_task1_rep3,gemini-3.1-pro-preview,none,terraform,1,simple,3,20235,True,10,13,0.2308,,,,
gemini-3.1-pro-preview_none_task2_rep1,gemini-3.1-pro-preview,none,terraform,2,medium,1,43402,True,8,13,0.3846,,,,
gemini-3.1-pro-preview_none_task2_rep2,gemini-3.1-pro-preview,none,terraform,2,medium,2,54988,True,9,13,0.3077,,,,
gemini-3.1-pro-preview_none_task2_rep3,gemini-3.1-pro-preview,none,terraform,2,medium,3,53858,True,9,13,0.3077,,,,
gemini-3.1-pro-preview_none_task3_rep1,gemini-3.1-pro-preview,none,terraform,3,complex,1,71098,True,9,13,0.3077,,,,
gemini-3.1-pro-preview_none_task3_rep2,gemini-3.1-pro-preview,none,terraform,3,complex,2,31655,True,9,13,0.3077,,,,
gemini-3.1-pro-preview_none_task3_rep3,gemini-3.1-pro-preview,none,terraform,3,complex,3,29098,True,8,13,0.3846,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep1,gemini-3.1-pro-preview,pseudocode,terraform,1,simple,1,34251,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep2,gemini-3.1-pro-preview,pseudocode,terraform,1,simple,2,47763,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task1_rep3,gemini-3.1-pro-preview,pseudocode,terraform,1,simple,3,45790,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep1,gemini-3.1-pro-preview,pseudocode,terraform,2,medium,1,57486,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep2,gemini-3.1-pro-preview,pseudocode,terraform,2,medium,2,51154,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task2_rep3,gemini-3.1-pro-preview,pseudocode,terraform,2,medium,3,72093,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep1,gemini-3.1-pro-preview,pseudocode,terraform,3,complex,1,82218,True,12,13,0.0769,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep2,gemini-3.1-pro-preview,pseudocode,terraform,3,complex,2,74243,True,13,13,0.0,,,,
gemini-3.1-pro-preview_pseudocode_task3_rep3,gemini-3.1-pro-preview,pseudocode,terraform,3,complex,3,74201,True,13,13,0.0,,,,
