run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,structure_valid,structure_errors,rule_1_plural_nouns_pass,rule_1_plural_nouns_detail,rule_2_kebab_case_pass,rule_2_kebab_case_detail,rule_3_no_verbs_pass,rule_3_no_verbs_detail,rule_4_operation_id_pass,rule_4_operation_id_detail,rule_5_description_pass,rule_5_description_detail,rule_6_camel_case_pass,rule_6_camel_case_detail,rule_7_contact_pass,rule_7_contact_detail,rule_8_rfc7807_pass,rule_8_rfc7807_detail,rule_9_cursor_pagination_pass,rule_9_cursor_pagination_detail,rule_10_rate_limit_headers_pass,rule_10_rate_limit_headers_detail,rule_11_idempotency_key_pass,rule_11_idempotency_key_detail,rule_12_examples_pass,rule_12_examples_detail,rule_13_security_scheme_pass,rule_13_security_scheme_detail,rule_14_security_applied_pass,rule_14_security_applied_detail,auto_score,scored_rules,needs_manual_review,outcome_paths_present_pass,outcome_paths_present_detail,outcome_schemas_present_pass,outcome_schemas_present_detail,outcome_async_202_pass,outcome_async_202_detail,outcome_score
opus_markdown_task2_rep1,opus,markdown,2,medium,1,65248,3,7503,25498,4692,0.22966399999999998,True,,True,,True,ok,True,ok,True,ok,True,ok (14 operations),True,ok (14 operations),True,ok (59 properties checked),True,ok,True,48/48 error schemas are RFC 7807 compliant,True,3/3 list endpoints have cursor pagination,True,14/14 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,49/59 (83%) have examples,True,ok (bearerAuth),True,ok (global security),14,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
opus_markdown_task3_rep1,opus,markdown,3,complex,1,96691,3,10436,25498,4738,0.3032765,True,,True,,True,ok,True,ok,True,ok,True,ok (17 operations),True,ok (17 operations),True,ok (59 properties checked),True,ok,True,58/58 error schemas are RFC 7807 compliant,True,5/5 list endpoints have cursor pagination,True,17/17 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,51/59 (86%) have examples,True,ok (oauth2),True,ok (global security),14,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
opus_none_task1_rep1,opus,none,1,simple,1,19310,3,1374,0,27889,0.20867125,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),False,"non-camelCase: created_at, is_active, per_page, total_pages, updated_at",False,info.contact has no email or url,False,0/7 error schemas have type+title+status+detail,False,0/1 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/5 success responses have rate-limit headers,False,0/1 POST/PUT operations have Idempotency-Key header,False,0/23 (0%) have examples (need >= 80%),True,n/a (auth not required),True,n/a (auth not required),7,14,False,False,missing 1/2 paths: ['/users/{userId}'],True,all 1 expected schemas present,True,n/a (no async operations required),2
opus_none_task2_rep1,opus,none,2,medium,1,40952,3,4619,25498,2403,0.14325775,True,,True,,True,ok,True,ok,True,ok,True,ok (16 operations),True,ok (16 operations),False,"non-camelCase: access_token, created_at, expires_in, per_page, postal_code",False,info.contact has no email or url,False,0/40 error schemas have type+title+status+detail,False,0/3 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/16 success responses have rate-limit headers,False,0/5 POST/PUT operations have Idempotency-Key header,False,1/57 (2%) have examples (need >= 80%),True,ok (bearerAuth),True,ok (global security),7,14,False,False,"missing 2/5 paths: ['/users/{userId}', '/orders/{orderId}']",True,all 3 expected schemas present,True,n/a (no async operations required),2
opus_none_task3_rep1,opus,none,3,complex,1,83044,3,8959,25498,2449,0.25204525,True,,True,,True,ok,True,ok,True,ok,True,ok (18 operations),True,ok (18 operations),False,"non-camelCase: business_type, created_at, is_active, merchant_id, payment_id",True,ok,True,82/82 error schemas are RFC 7807 compliant,False,0/5 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/18 success responses have rate-limit headers,True,2/5 POST/PUT operations have Idempotency-Key header,False,0/56 (0%) have examples (need >= 80%),True,ok (oauth2),True,ok (global security),10,14,False,False,"missing 3/6 paths: ['/v1/merchants/{merchantId}', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
opus_pseudocode_task1_rep1,opus,pseudocode,1,simple,1,35774,3,3587,25498,5839,0.13893275,True,,True,,True,ok,True,ok,True,ok,True,ok (6 operations),True,ok (6 operations),True,ok (26 properties checked),True,ok,True,23/23 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,6/6 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,22/26 (85%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
opus_pseudocode_task2_rep1,opus,pseudocode,2,medium,1,73284,3,8373,25498,5851,0.25865775,True,,True,,True,ok,True,ok,True,ok,True,ok (17 operations),True,ok (17 operations),True,ok (56 properties checked),True,ok,True,73/73 error schemas are RFC 7807 compliant,True,3/4 list endpoints have cursor pagination,True,17/17 success responses have rate-limit headers,True,5/5 POST/PUT operations have Idempotency-Key header,True,46/56 (82%) have examples,True,ok (bearerAuth),True,ok (global security),14,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
opus_pseudocode_task3_rep1,opus,pseudocode,3,complex,1,92998,3,10638,25498,5897,0.31557025,True,,True,,True,ok,True,ok,True,ok,True,ok (15 operations),True,ok (15 operations),True,ok (55 properties checked),True,ok,True,65/65 error schemas are RFC 7807 compliant,True,4/4 list endpoints have cursor pagination,True,15/15 success responses have rate-limit headers,True,5/5 POST/PUT operations have Idempotency-Key header,True,55/55 (100%) have examples,True,ok (oauth2),True,ok (global security),14,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
zai-coding-plan-glm-4.7-flash_markdown_task1_rep1,zai-coding-plan/glm-4.7-flash,markdown,1,simple,1,112023,19109,3546,43,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),True,ok (22 properties checked),True,ok,True,25/25 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,5/5 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,21/22 (95%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7-flash_markdown_task2_rep1,zai-coding-plan/glm-4.7-flash,markdown,2,medium,1,390587,18687,9546,477,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (14 operations),True,ok (14 operations),True,ok (64 properties checked),True,ok,True,71/71 error schemas are RFC 7807 compliant,True,3/3 list endpoints have cursor pagination,True,14/14 success responses have rate-limit headers,False,0/6 POST/PUT operations have Idempotency-Key header,True,61/64 (95%) have examples,True,ok (bearerAuth),True,ok (global security),13,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7-flash_markdown_task3_rep1,zai-coding-plan/glm-4.7-flash,markdown,3,complex,1,229034,10780,10130,8417,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (14 operations),True,ok (14 operations),False,"non-camelCase: business_type, completed_at, created_at, failure_reason, has_more",True,ok,True,57/57 error schemas are RFC 7807 compliant,False,0/4 list endpoints have cursor pagination (data+nextCursor+hasMore),True,14/14 success responses have rate-limit headers,False,0/4 POST/PUT operations have Idempotency-Key header,True,39/40 (98%) have examples,True,ok (oauth2),True,ok (global security),11,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
zai-coding-plan-glm-4.7-flash_none_task1_rep1,zai-coding-plan/glm-4.7-flash,none,1,simple,1,91646,16299,3521,43,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (6 operations),True,ok (6 operations),False,"non-camelCase: created_at, is_active, request_id, total_pages, updated_at",True,ok,False,0/19 error schemas have type+title+status+detail,False,0/1 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/6 success responses have rate-limit headers,False,0/2 POST/PUT operations have Idempotency-Key header,False,0/29 (0%) have examples (need >= 80%),True,n/a (auth not required),True,n/a (auth not required),8,14,False,False,missing 1/2 paths: ['/users/{userId}'],True,all 1 expected schemas present,True,n/a (no async operations required),2
zai-coding-plan-glm-4.7-flash_none_task2_rep1,zai-coding-plan/glm-4.7-flash,none,2,medium,1,320373,16311,14462,43,0,0,True,,True,,True,ok,True,ok,True,ok,False,"missing operationId on: POST /auth/register, POST /auth/login, GET /auth/me",True,ok (19 operations),True,ok (79 properties checked),False,info.contact has no email or url,False,0/48 error schemas have type+title+status+detail,False,0/4 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/19 success responses have rate-limit headers,False,0/9 POST/PUT operations have Idempotency-Key header,False,0/79 (0%) have examples (need >= 80%),True,ok (bearerAuth),True,ok (global security),7,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7-flash_none_task3_rep1,zai-coding-plan/glm-4.7-flash,none,3,complex,1,155617,15913,4794,477,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (16 operations),True,ok (16 operations),False,"non-camelCase: business_type, created_at, failure_reason, has_next, has_prev",True,ok,False,no error response schemas found,False,0/4 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/16 success responses have rate-limit headers,False,0/6 POST/PUT operations have Idempotency-Key header,False,18/67 (27%) have examples (need >= 80%),True,ok (OAuth2),True,ok (global security),8,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
zai-coding-plan-glm-4.7-flash_pseudocode_task1_rep1,zai-coding-plan/glm-4.7-flash,pseudocode,1,simple,1,110154,19944,4357,43,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),True,ok (15 properties checked),True,ok,False,0/26 error schemas have type+title+status+detail,True,1/1 list endpoints have cursor pagination,True,5/5 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,15/15 (100%) have examples,True,n/a (auth not required),True,n/a (auth not required),13,14,False,False,missing 1/2 paths: ['/users/{userId}'],True,all 1 expected schemas present,True,n/a (no async operations required),2
zai-coding-plan-glm-4.7-flash_pseudocode_task2_rep1,zai-coding-plan/glm-4.7-flash,pseudocode,2,medium,1,178816,19951,10187,43,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (15 operations),True,ok (15 operations),True,ok (56 properties checked),True,ok,True,156/156 error schemas are RFC 7807 compliant,True,3/3 list endpoints have cursor pagination,False,12/15 success responses have rate-limit headers,False,0/6 POST/PUT operations have Idempotency-Key header,True,54/56 (96%) have examples,True,ok (bearerAuth),True,ok (global security),12,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7-flash_pseudocode_task3_rep1,zai-coding-plan/glm-4.7-flash,pseudocode,3,complex,1,198225,11612,12566,8417,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (17 operations),True,ok (17 operations),True,ok (74 properties checked),True,ok,True,87/87 error schemas are RFC 7807 compliant,True,5/5 list endpoints have cursor pagination,True,17/17 success responses have rate-limit headers,True,3/4 POST/PUT operations have Idempotency-Key header,True,69/74 (93%) have examples,True,ok (oauth2),True,ok (17/17 ops have security),14,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
zai-coding-plan-glm-4.7_markdown_task1_rep1,zai-coding-plan/glm-4.7,markdown,1,simple,1,39111,10595,2994,8553,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),True,ok (22 properties checked),True,ok,True,15/15 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,5/5 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,22/22 (100%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7_markdown_task2_rep1,zai-coding-plan/glm-4.7,markdown,2,medium,1,75930,10582,7836,8578,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (15 operations),True,ok (15 operations),True,ok (43 properties checked),True,ok,True,58/58 error schemas are RFC 7807 compliant,True,3/3 list endpoints have cursor pagination,True,15/15 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,40/43 (93%) have examples,True,ok (bearerAuth),True,ok (global security),14,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7_markdown_task3_rep1,zai-coding-plan/glm-4.7,markdown,3,complex,1,84865,10642,9850,8553,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (16 operations),True,ok (16 operations),True,ok (38 properties checked),True,ok,True,84/84 error schemas are RFC 7807 compliant,True,4/4 list endpoints have cursor pagination,True,16/16 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,34/38 (89%) have examples,True,ok (oauth2),True,ok (global security),14,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
zai-coding-plan-glm-4.7_none_task1_rep1,zai-coding-plan/glm-4.7,none,1,simple,1,41681,15863,3642,477,0,0,True,,True,,True,ok,True,ok,True,ok,False,"missing operationId on: POST /users, GET /users, PATCH /users/{id}",True,ok (6 operations),False,"non-camelCase: created_at, is_active, per_page, total_pages, updated_at",False,info.contact has no email or url,False,0/14 error schemas have type+title+status+detail,False,0/1 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/6 success responses have rate-limit headers,False,0/2 POST/PUT operations have Idempotency-Key header,False,0/27 (0%) have examples (need >= 80%),True,n/a (auth not required),True,n/a (auth not required),6,14,False,False,missing 1/2 paths: ['/users/{userId}'],True,all 1 expected schemas present,True,n/a (no async operations required),2
zai-coding-plan-glm-4.7_none_task2_rep1,zai-coding-plan/glm-4.7,none,2,medium,1,58087,7934,4780,8416,0,0,True,,True,,True,ok,True,ok,True,ok,False,"missing operationId on: POST /users, GET /users, PATCH /users/{userId}",True,ok (15 operations),True,needs_review (no schemas with properties),True,ok,False,0/52 error schemas have type+title+status+detail,False,0/4 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/15 success responses have rate-limit headers,False,0/3 POST/PUT operations have Idempotency-Key header,True,no properties found,False,no securitySchemes defined (auth required),True,ok (global security),8,14,True,True,all 5 expected paths present,False,"missing 3/3 schemas: ['User', 'Product', 'Order']",True,n/a (no async operations required),2
zai-coding-plan-glm-4.7_none_task3_rep1,zai-coding-plan/glm-4.7,none,3,complex,1,94918,7806,7980,8578,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (19 operations),True,ok (19 operations),True,needs_review (no schemas with properties),False,info.contact has no email or url,False,0/107 error schemas have type+title+status+detail,False,0/6 list endpoints have cursor pagination (data+nextCursor+hasMore),False,0/19 success responses have rate-limit headers,False,0/6 POST/PUT operations have Idempotency-Key header,True,no properties found,False,no securitySchemes defined (auth required),True,ok (global security),8,14,True,False,missing 1/6 paths: ['/v1/webhooks'],False,"missing 4/4 schemas: ['Merchant', 'Payment', 'Refund', 'Webhook']",True,202 Accepted response found on POST operation,1
zai-coding-plan-glm-4.7_pseudocode_task1_rep1,zai-coding-plan/glm-4.7,pseudocode,1,simple,1,43826,11267,3986,8714,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (6 operations),True,ok (6 operations),True,ok (22 properties checked),True,ok,True,25/25 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,6/6 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,22/22 (100%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7_pseudocode_task2_rep1,zai-coding-plan/glm-4.7,pseudocode,2,medium,1,97853,11412,10606,8578,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (16 operations),True,ok (16 operations),True,ok (32 properties checked),True,ok,True,48/48 error schemas are RFC 7807 compliant,True,4/4 list endpoints have cursor pagination,True,16/16 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,28/32 (88%) have examples,True,ok (bearerAuth),True,ok (global security),14,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-4.7_pseudocode_task3_rep1,zai-coding-plan/glm-4.7,pseudocode,3,complex,1,79853,11610,7213,8416,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (17 operations),True,ok (17 operations),True,needs_review (no schemas with properties),True,ok,False,0/59 error schemas have type+title+status+detail,True,no list endpoints found,True,17/17 success responses have rate-limit headers,True,5/5 POST/PUT operations have Idempotency-Key header,True,no properties found,False,no securitySchemes defined (auth required),True,ok (global security),12,14,True,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",False,"missing 4/4 schemas: ['Merchant', 'Payment', 'Refund', 'Webhook']",True,202 Accepted response found on POST operation,1
zai-coding-plan-glm-5_markdown_task1_rep1,zai-coding-plan/glm-5,markdown,1,simple,1,68918,10756,3109,8384,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (5 operations),True,ok (5 operations),True,ok (22 properties checked),True,ok,True,17/17 error schemas are RFC 7807 compliant,True,1/1 list endpoints have cursor pagination,True,5/5 success responses have rate-limit headers,True,2/2 POST/PUT operations have Idempotency-Key header,True,18/22 (82%) have examples,True,n/a (auth not required),True,n/a (auth not required),14,14,False,True,all 2 expected paths present,True,all 1 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-5_markdown_task2_rep1,zai-coding-plan/glm-5,markdown,2,medium,1,168778,10764,7549,8384,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (15 operations),True,ok (15 operations),True,ok (51 properties checked),True,ok,True,45/45 error schemas are RFC 7807 compliant,True,3/3 list endpoints have cursor pagination,True,15/15 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,44/51 (86%) have examples,True,ok (bearerAuth),True,ok (global security),14,14,False,True,all 5 expected paths present,True,all 3 expected schemas present,True,n/a (no async operations required),3
zai-coding-plan-glm-5_markdown_task3_rep1,zai-coding-plan/glm-5,markdown,3,complex,1,213647,10802,5295,8384,0,0,True,,True,,True,ok,True,ok,True,ok,True,ok (16 operations),True,ok (16 operations),True,ok (51 properties checked),True,ok,True,46/46 error schemas are RFC 7807 compliant,True,4/4 list endpoints have cursor pagination,False,0/16 success responses have rate-limit headers,True,6/6 POST/PUT operations have Idempotency-Key header,True,47/51 (92%) have examples,True,ok (oauth2),True,ok (global security),13,14,False,False,"missing 6/6 paths: ['/v1/merchants', '/v1/merchants/{merchantId}', '/v1/payments', '/v1/payments/{paymentId}', '/v1/payments/{paymentId}/refunds']",True,all 4 expected schemas present,True,202 Accepted response found on POST operation,2
