run_id,model,condition,task,task_complexity,rep,duration_ms,json_valid,json_error,rule_01_verdict,rule_01_detail,rule_02_verdict,rule_02_detail,rule_03_verdict,rule_03_detail,rule_04_verdict,rule_04_detail,rule_05_verdict,rule_05_detail,rule_06_verdict,rule_06_detail,rule_07_verdict,rule_07_detail,rule_08_verdict,rule_08_detail,rule_09_verdict,rule_09_detail,rule_10_verdict,rule_10_detail,rule_11_verdict,rule_11_detail,rule_12_verdict,rule_12_detail,rule_13_verdict,rule_13_detail,rule_14_verdict,rule_14_detail,rule_15_verdict,rule_15_detail,pass_count,fail_count,absent_count,deep_score,deep_score_pct,coverage
opus_none_task1_rep2,opus,none,1,simple,2,46443,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,insight title (40 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,absent,bar chart with no explicit y-axis config,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
opus_none_task1_rep3,opus,none,1,simple,3,35010,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,insight title (40 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,absent,bar chart with no explicit y-axis config,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
opus_none_task2_rep1,opus,none,2,medium,1,18556,True,,pass,1 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
opus_none_task2_rep2,opus,none,2,medium,2,17933,True,,fail,saturated colors: #2563eb,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (36 chars),pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,pass,8 points with labels configured,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,10,1,4,10,0.667,0.733
opus_none_task2_rep3,opus,none,2,medium,3,18022,True,,fail,saturated colors: #2563eb,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (36 chars),pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,9,2,4,9,0.6,0.733
opus_none_task3_rep1,opus,none,3,complex,1,21432,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (38 chars),pass,"source: 'Company earnings reports, 2023–2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
opus_none_task3_rep2,opus,none,3,complex,2,23645,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (38 chars),pass,"source: 'Company earnings reports, 2023–2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
opus_none_task3_rep3,opus,none,3,complex,3,22346,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (38 chars),pass,"source: 'Company earnings reports, 2023–2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
zai-coding-plan-glm-4.7-flash_none_task1_rep1,zai-coding-plan/glm-4.7-flash,none,1,simple,1,66645,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task1_rep2,zai-coding-plan/glm-4.7-flash,none,1,simple,2,35620,True,,absent,no data colors found,absent,no highlight data found,absent,no colors to evaluate,pass,single chart (auto-pass),absent,no title found,absent,no source field found anywhere,absent,no font specified,absent,can't determine data count,pass,n/a (chart type: unknown),absent,no spine config found,absent,no grid color specified,absent,unit in 0 location(s) — insufficient data,fail,"no annotations, highlights, or emphasis found",absent,can't determine series count,absent,no dimensions found,2,1,12,2,0.133,0.2
zai-coding-plan-glm-4.7-flash_none_task1_rep3,zai-coding-plan/glm-4.7-flash,none,1,simple,3,33238,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task2_rep1,zai-coding-plan/glm-4.7-flash,none,2,medium,1,24719,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task2_rep2,zai-coding-plan/glm-4.7-flash,none,2,medium,2,16975,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task2_rep3,zai-coding-plan/glm-4.7-flash,none,2,medium,3,86298,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task3_rep1,zai-coding-plan/glm-4.7-flash,none,3,complex,1,22142,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task3_rep2,zai-coding-plan/glm-4.7-flash,none,3,complex,2,26377,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-4.7-flash_none_task3_rep3,zai-coding-plan/glm-4.7-flash,none,3,complex,3,22194,False,could not extract valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,absent,no valid JSON,0,0,15,0,0.0,0.0
zai-coding-plan-glm-5_none_task1_rep1,zai-coding-plan/glm-5,none,1,simple,1,19672,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,title present (30 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,absent,bar chart with no explicit y-axis config,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
zai-coding-plan-glm-5_none_task1_rep2,zai-coding-plan/glm-5,none,1,simple,2,11152,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,title too short (19 chars): '2023 GDP by Economy',pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,6,2,7,6,0.4,0.533
zai-coding-plan-glm-5_none_task1_rep3,zai-coding-plan/glm-5,none,1,simple,3,12609,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,title present (30 chars),pass,"source: 'IMF World Economic Outlook, 2024'",absent,no font specified,fail,5 points but no label config,pass,y min=0,absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,1 annotation(s),pass,"1 series, no legend (correct)",absent,no dimensions found,8,1,6,8,0.533,0.6
zai-coding-plan-glm-5_none_task2_rep1,zai-coding-plan/glm-5,none,2,medium,1,21470,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,6,2,7,6,0.4,0.533
zai-coding-plan-glm-5_none_task2_rep2,zai-coding-plan/glm-5,none,2,medium,2,21813,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,6,2,7,6,0.4,0.533
zai-coding-plan-glm-5_none_task2_rep3,zai-coding-plan/glm-5,none,2,medium,3,37774,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),fail,label-style title: 'Growth of AI Model Sizes',pass,"source: 'Epoch AI, ""Trends in Machine Learning"", 2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),pass,"2 series, no legend (correct)",absent,no dimensions found,7,2,6,7,0.467,0.6
zai-coding-plan-glm-5_none_task3_rep1,zai-coding-plan/glm-5,none,3,complex,1,37348,True,,absent,no data colors found,pass,highlight/accent present and <=2,absent,no colors to evaluate,pass,single chart (auto-pass),pass,insight title (32 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,7,1,7,7,0.467,0.533
zai-coding-plan-glm-5_none_task3_rep2,zai-coding-plan/glm-5,none,3,complex,2,32977,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (32 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,3 series with legend (acceptable),absent,no dimensions found,8,2,5,8,0.533,0.667
zai-coding-plan-glm-5_none_task3_rep3,zai-coding-plan/glm-5,none,3,complex,3,69623,True,,fail,"neon/primary colors: #ff9900, #4285f4, #0078d4",pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (33 chars),pass,"source: 'Company earnings reports, 2023-2024'",absent,no font specified,fail,8 points but no label config,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),pass,"3 series, no legend (correct)",absent,no dimensions found,8,2,5,8,0.533,0.667
haiku_markdown_task1_rep1,haiku,markdown,1,simple,1,15413,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (55 chars),absent,no source field found anywhere,pass,"sans-serif: system-ui, sans-serif",fail,5 points but no label config,pass,scale.zero=true,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, subtitle, title",pass,"accent colors in data: #1a476f, #5d666f, #c74634",pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.67 in [0.8, 2.5]",12,2,1,12,0.8,0.933
haiku_markdown_task1_rep2,haiku,markdown,1,simple,2,14145,True,,pass,2 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (52 chars),absent,no source field found anywhere,pass,"sans-serif: inter, helvetica, sans-serif",fail,5 points but no label config,fail,y domain starts at True,absent,no spine config found,pass,grid opacity=0.3 (subtle),fail,"unit appears in 3 places: axis, subtitle, title",pass,2 highlight flag(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.67 in [0.8, 2.5]",10,3,2,10,0.667,0.867
haiku_markdown_task1_rep3,haiku,markdown,1,simple,3,13788,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (53 chars),pass,"source: 'IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,pass,n/a (chart type: unknown),absent,no spine config found,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, subtitle, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,ratio 1.33 (acceptable),13,1,1,13,0.867,0.933
haiku_markdown_task2_rep1,haiku,markdown,2,medium,1,12439,True,,pass,4 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (76 chars),pass,"source: 'Epoch AI, Trends in Machine Learning, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),absent,no spine config found,pass,gridlines disabled,pass,"unit in 2 locations: axis, subtitle",pass,3 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 2.00 >= 1.2,14,0,1,14,0.933,0.933
haiku_markdown_task2_rep2,haiku,markdown,2,medium,2,29322,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (45 chars),pass,"source: 'Epoch AI, Trends in Machine Learning 2024 | Chart: Claude Co'",pass,"sans-serif: sans-serif, inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line_chart),absent,no spine config found,absent,no grid color specified,pass,"unit in 2 locations: axis, subtitle",pass,2 annotation(s),absent,can't determine series count,pass,ratio 1.78 (acceptable),12,0,3,12,0.8,0.8
haiku_markdown_task2_rep3,haiku,markdown,2,medium,3,20735,True,,pass,2 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (53 chars),pass,"source: 'Epoch AI, Trends in Machine Learning, 2024'",absent,no font specified,absent,can't determine data count,pass,n/a (chart type: line),absent,no spine config found,absent,no grid color specified,absent,unit in 1 location(s) — insufficient data,pass,3 annotation(s),absent,can't determine series count,pass,line chart ratio 1.78 >= 1.2,9,0,6,9,0.6,0.6
haiku_markdown_task3_rep1,haiku,markdown,3,complex,1,21881,True,,pass,3 muted colors,absent,no highlight data found,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (47 chars),absent,no source field found anywhere,absent,no font specified,pass,"24 points (>8, labels optional)",pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #e0e0e0,pass,"unit in 2 locations: axis, subtitle",fail,"no annotations, highlights, or emphasis found",pass,"1 series, no legend (correct)",pass,line chart ratio 1.60 >= 1.2,11,1,3,11,0.733,0.8
haiku_markdown_task3_rep2,haiku,markdown,3,complex,2,21858,True,,pass,3 muted colors,absent,no highlight data found,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (57 chars),absent,no source field found anywhere,absent,no font specified,pass,"24 points (>8, labels optional)",pass,n/a (chart type: line),pass,top+right spines removed,pass,grid opacity=0.2 (subtle),absent,unit in 1 location(s) — insufficient data,fail,"no annotations, highlights, or emphasis found",fail,1 series with legend (should use direct labels),pass,line chart ratio 1.78 >= 1.2,9,2,4,9,0.6,0.733
haiku_markdown_task3_rep3,haiku,markdown,3,complex,3,24753,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (56 chars),pass,"source: 'Company earnings reports, 2023–2024'",pass,"sans-serif: inter, helvetica, sans-serif",absent,can't determine data count,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #e0e0e0,absent,unit in 1 location(s) — insufficient data,pass,1 annotation(s),absent,can't determine series count,pass,line chart ratio 1.78 >= 1.2,12,0,3,12,0.8,0.8
opus_markdown_task1_rep1,opus,markdown,1,simple,1,17929,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (50 chars),pass,"source: 'Source: IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,absent,bar chart with no explicit y-axis config,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 4 places: axis, labels, subtitle, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.33 in [0.8, 2.5]",13,1,1,13,0.867,0.933
opus_markdown_task1_rep2,opus,markdown,1,simple,2,18706,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (50 chars),pass,"source: 'Source: IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,absent,bar chart with no explicit y-axis config,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, labels, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.33 in [0.8, 2.5]",13,1,1,13,0.867,0.933
opus_markdown_task1_rep3,opus,markdown,1,simple,3,21117,True,,pass,5 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (49 chars),pass,"source: 'Source: IMF World Economic Outlook, 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,5 points with labels configured,absent,bar chart with no explicit y-axis config,pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,fail,"unit appears in 3 places: axis, labels, title",pass,1 annotation(s),pass,"1 series, no legend (correct)",pass,"bar chart ratio 1.33 in [0.8, 2.5]",13,1,1,13,0.867,0.933
opus_markdown_task2_rep1,opus,markdown,2,medium,1,29903,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (55 chars),pass,"source: 'Source: Epoch AI, ""Trends in Machine Learning"", 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,absent,unit in 1 location(s) — insufficient data,pass,3 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 1.78 >= 1.2,14,0,1,14,0.933,0.933
opus_markdown_task2_rep2,opus,markdown,2,medium,2,31703,True,,pass,3 muted colors,pass,highlight/accent present and <=2,pass,no red+green conflict,pass,single chart (auto-pass),pass,insight title (50 chars),pass,"source: 'Source: Epoch AI, ""Trends in Machine Learning"", 2024'",pass,"sans-serif: inter, helvetica, sans-serif",pass,8 points with labels configured,pass,n/a (chart type: line),pass,top+right spines removed,pass,subtle grid colors: #d0d0d0,absent,unit in 0 location(s) — insufficient data,pass,2 annotation(s),pass,"2 series, no legend (correct)",pass,line chart ratio 1.78 >= 1.2,14,0,1,14,0.933,0.933
