run_id,model,condition,task,task_complexity,rep,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_cost_usd,extraction_ok,extraction_error,structure_valid,structure_errors,rule_1_naming_pass,rule_1_naming_detail,rule_2_var_description_pass,rule_2_var_description_detail,rule_3_var_type_pass,rule_3_var_type_detail,rule_4_outputs_pass,rule_4_outputs_detail,rule_5_tags_pass,rule_5_tags_detail,rule_6_lifecycle_pass,rule_6_lifecycle_detail,rule_7_var_separation_pass,rule_7_var_separation_detail,rule_8_file_structure_pass,rule_8_file_structure_detail,rule_9_no_hardcoded_ids_pass,rule_9_no_hardcoded_ids_detail,rule_10_provider_pinned_pass,rule_10_provider_pinned_detail,rule_11_backend_pass,rule_11_backend_detail,rule_12_sensitive_pass,rule_12_sensitive_detail,rule_13_data_sources_pass,rule_13_data_sources_detail,rule_14_locals_pass,rule_14_locals_detail,auto_score,scored_rules,needs_manual_review,outcome_resources_present_pass,outcome_resources_present_detail,outcome_resource_coverage_pass,outcome_resource_coverage_detail,outcome_score
haiku_markdown_task3_rep1,haiku,markdown,3,complex,1,47299,17,8318,82000,12834,0.0658495,True,,True,,False,aws_ecs_task_definition.app: too generic/short; aws_ecs_service.app: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 13 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: s3,False,task requires sensitive values but none marked sensitive = true,True,1 data sources: ['aws_caller_identity.current'],True,locals block present,8,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_markdown_task3_rep2,haiku,markdown,3,complex,2,62198,17,9914,85504,6431,0.06617614999999999,True,,True,,False,aws_security_group.rds: too generic/short; aws_security_group.ecs: too generic/short; aws_security_group.alb: too generic/short,True,all 22 variables have descriptions,True,all 22 variables have type constraints,True,"2 outputs defined: ['alb_dns_name', 'ecs_service_name']",True,all 13 taggable resources have tags,True,needs_review,True,variables appear grouped,True,"file structure mentioned: ['variables.tf', 'outputs.tf']",True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,"sensitive vars: ['db_password', 'db_password'], outputs: []",True,1 data sources: ['aws_caller_identity.current'],True,locals block present,12,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_markdown_task3_rep3,haiku,markdown,3,complex,3,24462,10,3702,54757,8263,0.03432445,True,,True,,True,all 20 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 13 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: s3,False,task requires sensitive values but none marked sensitive = true,True,1 data sources: ['aws_caller_identity.current'],False,no locals block defined,8,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_markdown_task3_rep4,haiku,markdown,3,complex,4,47201,16,6027,90030,1159,0.04107275,True,,True,,True,all 21 resource names are descriptive snake_case,True,all 46 variables have descriptions,True,all 46 variables have type constraints,True,"6 outputs defined: ['alb_dns_name', 'ecs_service_name', 'ecs_cluster_name', 'rds_endpoint', 'cloudwatch_log_group_name', 'secrets_manager_secret_arn']",True,all 13 taggable resources have tags,True,needs_review,True,variables appear grouped,True,"file structure mentioned: ['main.tf', 'variables.tf', 'outputs.tf']",False,possible hardcoded AWS account ID (12 digits); hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,"sensitive vars: ['db_password', 'db_password'], outputs: ['secrets_manager_secret_arn']",True,1 data sources: ['aws_caller_identity.current'],True,locals block present,12,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_markdown_task3_rep5,haiku,markdown,3,complex,5,27491,24,4228,125942,4320,0.039158200000000004,True,,True,,False,aws_ecs_task_definition.app: too generic/short; aws_security_group.alb: too generic/short; aws_security_group.ecs: too generic/short; aws_security_group.rds: too generic/short; aws_lb_target_group.app: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 13 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: s3,False,task requires sensitive values but none marked sensitive = true,True,1 data sources: ['aws_caller_identity.current'],True,locals block present,8,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_none_task1_rep1,haiku,none,1,simple,1,8326,10,624,48163,2891,0.01156005,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,False,no outputs defined,True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,9,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_none_task1_rep2,haiku,none,1,simple,2,5940,10,541,50396,546,0.008437100000000001,True,,True,,True,all 5 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 1 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,8,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_none_task1_rep3,haiku,none,1,simple,3,27087,10,742,50396,761,0.00971085,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['bucket_name', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,10,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_none_task1_rep4,haiku,none,1,simple,4,35969,3,557,25198,0,0.0053078000000000005,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,False,no outputs defined,True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,9,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_none_task1_rep5,haiku,none,1,simple,5,60641,10,709,45986,5897,0.015524850000000001,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"2 outputs defined: ['bucket_id', 'bucket_arn']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),False,no locals block defined,10,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_none_task2_rep1,haiku,none,2,medium,1,19797,10,1916,48295,4297,0.01979075,True,,True,,False,aws_eip.nat: too generic/short; aws_instance.web: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",True,locals block present,8,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_none_task2_rep2,haiku,none,2,medium,2,63463,10,2155,50660,2130,0.018513500000000002,True,,True,,False,aws_eip.nat: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",False,no locals block defined,7,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_none_task2_rep3,haiku,none,2,medium,3,127630,17,4080,75754,6054,0.03555989999999999,True,,True,,False,aws_eip.nat: too generic/short; aws_instance.web: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",False,no locals block defined,7,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_none_task2_rep4,haiku,none,2,medium,4,74915,10,2137,49500,4067,0.02072875,True,,True,,False,aws_eip.nat: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 12 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",False,no locals block defined,7,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_none_task2_rep5,haiku,none,2,medium,5,31806,3,2076,25206,0,0.0129036,True,,True,,False,aws_eip.nat: too generic/short; aws_instance.web: too generic/short,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['vpc_id', 'public_subnet_ids', 'ec2_public_ip']",True,all 12 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_availability_zones.available', 'aws_ami.amazon_linux_2023']",True,locals block present,10,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_none_task3_rep1,haiku,none,3,complex,1,54007,3,4504,22965,2364,0.0277745,True,,True,,False,aws_cloudwatch_log_group.ecs: too generic/short; aws_security_group.rds: too generic/short; aws_security_group.ecs: too generic/short; aws_security_group.alb: too generic/short,True,all 11 variables have descriptions,True,all 11 variables have type constraints,True,"4 outputs defined: ['alb_dns_name', 'ecs_service_name', 'rds_endpoint', 'cloudwatch_log_group']",False,"missing tags on: ['aws_iam_role.ecs_task_execution_role', 'aws_iam_role.ecs_task_role']",True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,False,no backend configuration found,True,"sensitive vars: ['db_username', 'db_password'], outputs: []",False,task requires data sources but none defined,False,no locals block defined,7,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_none_task3_rep2,haiku,none,3,complex,2,60204,10,3499,46211,6962,0.030828599999999998,True,,True,,False,aws_cloudwatch_log_group.ecs: too generic/short; aws_security_group.alb: too generic/short; aws_security_group.ecs: too generic/short; aws_security_group.rds: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 14 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,False,task requires sensitive values but none marked sensitive = true,True,1 data sources: ['aws_caller_identity.current'],False,no locals block defined,6,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_none_task3_rep3,haiku,none,3,complex,3,75518,10,3929,49499,5872,0.0319449,True,,True,,False,aws_security_group.alb: too generic/short; aws_security_group.rds: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 13 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,False,task requires sensitive values but none marked sensitive = true,True,1 data sources: ['aws_availability_zones.available'],False,no locals block defined,6,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_none_task3_rep4,haiku,none,3,complex,4,51472,10,3843,48489,5785,0.03130515,True,,True,,False,aws_cloudwatch_log_group.ecs: too generic/short; aws_security_group.rds: too generic/short; aws_db_subnet_group.rds: too generic/short; aws_security_group.alb: too generic/short; aws_security_group.ecs: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 13 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,False,task requires sensitive values but none marked sensitive = true,True,1 data sources: ['aws_caller_identity.current'],False,no locals block defined,6,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_none_task3_rep5,haiku,none,3,complex,5,109888,10,3974,50658,3991,0.029934550000000004,True,,True,,False,aws_security_group.alb: too generic/short; aws_security_group.ecs: too generic/short; aws_security_group.rds: too generic/short,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 13 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,False,no backend configuration found,False,task requires sensitive values but none marked sensitive = true,False,task requires data sources but none defined,False,no locals block defined,5,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
haiku_pseudocode_task1_rep1,haiku,pseudocode,1,simple,1,7883,10,907,56759,7480,0.019570900000000002,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['bucket_name', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),True,locals block present,12,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_pseudocode_task1_rep2,haiku,pseudocode,1,simple,2,6488,10,910,63318,926,0.0120493,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['bucket_name', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),True,locals block present,12,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_pseudocode_task1_rep3,haiku,pseudocode,1,simple,3,5104,3,822,31659,0,0.0072789000000000005,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['bucket_id', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),True,locals block present,12,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_pseudocode_task1_rep4,haiku,pseudocode,1,simple,4,13165,17,2653,95915,1899,0.02524725,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['bucket_id', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),True,locals block present,12,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_pseudocode_task1_rep5,haiku,pseudocode,1,simple,5,7772,10,935,63318,950,0.012204300000000001,True,,True,,True,all 5 resource names are descriptive snake_case,True,all 4 variables have descriptions,True,all 4 variables have type constraints,True,"3 outputs defined: ['bucket_id', 'bucket_arn', 'bucket_region']",True,all 1 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,n/a (task does not require data sources),True,locals block present,12,13,True,True,all 5 expected resources present,True,5/5 resources (100%),2
haiku_pseudocode_task2_rep1,haiku,pseudocode,2,medium,1,10234,10,1924,56891,8627,0.026102849999999997,True,,True,,True,all 13 resource names are descriptive snake_case,False,no variables defined,False,no variables defined,False,no outputs defined,True,all 11 taggable resources have tags,True,needs_review,True,needs_review (no variable blocks found),True,needs_review (single file output),True,no hardcoded IDs found,True,provider version pinned: ~> 5.0,True,backend configured: local,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_availability_zones.available', 'aws_ami.amazon_linux_2023']",True,locals block present,10,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_pseudocode_task2_rep2,haiku,pseudocode,2,medium,2,15424,17,3124,95692,641,0.02600745,True,,True,,True,all 16 resource names are descriptive snake_case,True,all 10 variables have descriptions,True,all 10 variables have type constraints,True,"6 outputs defined: ['vpc_id', 'public_subnet_ids', 'private_subnet_ids', 'app_instance_public_ip', 'nat_gateway_public_ip', 'security_group_id']",True,all 12 taggable resources have tags,True,needs_review,True,variables appear grouped,True,"file structure mentioned: ['main.tf', 'variables.tf', 'outputs.tf']",False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,n/a (task does not require sensitive values),True,1 data sources: ['aws_ami.amazon_linux_2023'],True,locals block present,12,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_pseudocode_task2_rep3,haiku,pseudocode,2,medium,3,28419,17,6742,97467,4245,0.04877995,True,,True,,True,all 16 resource names are descriptive snake_case,True,all 10 variables have descriptions,True,all 10 variables have type constraints,True,"3 outputs defined: ['vpc_id', 'public_subnet_ids', 'ec2_public_ip']",True,all 12 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: local,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",True,locals block present,12,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_pseudocode_task2_rep4,haiku,pseudocode,2,medium,4,30742,24,6738,132795,4333,0.052409750000000005,True,,True,,True,all 16 resource names are descriptive snake_case,True,all 10 variables have descriptions,True,all 10 variables have type constraints,True,"6 outputs defined: ['vpc_id', 'public_subnet_ids', 'private_subnet_ids', 'ec2_public_ip', 'ec2_instance_id', 'nat_gateway_ip']",True,all 12 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: local,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_ami.amazon_linux_2023', 'aws_availability_zones.available']",True,locals block present,12,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_pseudocode_task2_rep5,haiku,pseudocode,2,medium,5,11251,3,2086,31791,0,0.013612100000000002,True,,True,,True,all 12 resource names are descriptive snake_case,True,all 5 variables have descriptions,True,all 5 variables have type constraints,True,"3 outputs defined: ['vpc_id', 'public_subnet_ids', 'instance_public_ip']",True,all 10 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: local,True,n/a (task does not require sensitive values),True,"2 data sources: ['aws_availability_zones.available', 'aws_ami.amazon_linux_2023']",True,locals block present,12,13,True,True,all 8 expected resources present,True,8/8 resources (100%),2
haiku_pseudocode_task3_rep1,haiku,pseudocode,3,complex,1,51853,31,10742,162922,12618,0.0858057,True,,True,,False,aws_ecs_task_definition.app: too generic/short; aws_lb_target_group.app: too generic/short; aws_ecs_service.app: too generic/short,True,all 15 variables have descriptions,True,all 15 variables have type constraints,True,"6 outputs defined: ['alb_dns_name', 'ecs_service_name', 'ecs_cluster_name', 'rds_endpoint', 'cloudwatch_log_group_name', 'db_secret_arn']",True,all 13 taggable resources have tags,True,needs_review,True,variables appear grouped,True,needs_review (single file output),False,hardcoded region string in resource block,True,provider version pinned: ~> 5.0,True,backend configured: s3,True,"sensitive vars: ['db_password'], outputs: ['rds_endpoint', 'db_secret_arn']",True,1 data sources: ['aws_caller_identity.current'],True,locals block present,11,13,True,True,all 11 expected resources present,True,11/11 resources (100%),2
